tStart, tEnd, accentuation
0.000000, 0.387281, 0
0.000000, 0.715766, 0
0.000000, 1.050015, 0
0.000000, 1.413078, 0
0.000000, 1.724275, 0
0.000000, 2.121916, 0
0.000000, 2.513794, 0
0.000000, 2.888383, 0
0.000000, 3.153476, 0
0.000000, 3.487725, 0.5
0.000000, 3.839262, 0
0.000000, 4.213851, 0
0.000000, 4.536574, 0
0.000000, 4.922689, 0.5
0.000000, 5.300283, 0
0.000000, 5.709449, 0
0.000000, 6.003358, 0
0.000000, 6.308792, 0.5
0.000000, 6.653647, 0
0.000000, 7.039762, 0
0.000000, 7.327907, 0
0.000000, 7.696733, 0.5
0.000000, 8.025219, 0
0.000000, 8.388282, 0
0.000000, 8.680352, 0
0.000000, 9.066466, 0.5
0.000000, 9.411321, 0
0.000000, 9.780148, 0
0.000000, 10.056767, 0
0.000000, 10.415570, 0.5
0.000000, 10.790159, 0
0.000000, 11.164748, 0
0.000000, 11.448633, 0
0.000000, 11.794407, 0.5
0.000000, 12.135002, 0
0.000000, 12.526879, 0
0.000000, 12.843839, 0
0.000000, 13.183851, 0.5
0.000000, 13.558440, 0
0.000000, 13.905717, 0
0.000000, 14.205388, 0
0.000000, 14.569953, 0.5
0.000000, 14.915728, 0
0.000000, 15.296080, 0
0.000000, 15.589988, 0
0.000000, 15.951212, 0.5
0.000000, 16.296987, 0
0.000000, 16.688865, 0
0.000000, 16.970328, 0
0.000000, 17.327628, 0.5
0.000000, 17.669142, 0
0.000000, 18.032205, 0
0.000000, 18.297299, 0
0.000000, 18.679153, 0.5
0.000000, 19.052823, 0
0.000000, 19.427412, 0
0.000000, 19.692506, 0
0.000000, 20.061332, 0.5
0.000000, 20.433162, 0
0.000000, 20.807751, 0
0.000000, 21.084371, 0
0.000000, 21.447434, 0.5
0.000000, 21.845075, 0
0.000000, 22.206299, 0
0.000000, 22.494445, 0
0.000000, 22.845982, 0.5
0.000000, 23.174468, 0
0.000000, 23.541455, 0
0.000000, 23.869941, 0
0.000000, 24.229662, 0.5
0.000000, 24.558148, 0
0.000000, 24.834768, 0
