tStart, tEnd, accentuation
0.000000, 1.128715, 0.2
0.000000, 1.759297, 0
0.000000, 2.407415, 0.4
0.000000, 3.060044, 0.6
0.000000, 3.693882, 0.2
0.000000, 4.360790, 0.2
0.000000, 5.013919, 0.2
0.000000, 5.668256, 0.5
0.000000, 6.318324, 0.2
0.000000, 6.955774, 0
0.000000, 7.611658, 0.4
0.000000, 8.270299, 0.5
0.000000, 8.928940, 0.2
0.000000, 9.593092, 0.2
0.000000, 10.232442, 0.2
0.000000, 10.885571, 0.6
0.000000, 11.541348, 0.7
0.000000, 12.186209, 0.2
0.000000, 12.836582, 0.5
0.000000, 13.489711, 0.5
0.000000, 14.129061, 0.2
0.000000, 14.798725, 0.3
0.000000, 15.443586, 0.2
0.000000, 16.116006, 0.5
0.000000, 16.766379, 0.7
0.000000, 17.433287, 0
0.000000, 18.050591, 0.5
0.000000, 18.711987, 0.7
0.000000, 19.384407, 0.2
0.000000, 20.046823, 0.2
0.000000, 20.686173, 0.2
0.000000, 21.347569, 0
0.000000, 21.964873, 0.6
0.000000, 22.609734, 0
0.000000, 23.276642, 0.4
0.000000, 23.927015, 0
0.000000, 24.555342, 0.2
