tStart, tEnd, accentuation
0.000000, 0.436058, 0
0.000000, 0.734457, 0
0.000000, 1.024198, 0.2
0.000000, 1.341096, 0
0.000000, 1.657993, 0
0.000000, 1.966834, 0
0.000000, 2.259561, 0
0.000000, 2.563031, 0
0.000000, 2.877243, 0.3
0.000000, 3.180713, 0
0.000000, 3.494925, 0
0.000000, 3.801080, 0
0.000000, 4.101864, 0
0.000000, 4.408019, 0
0.000000, 4.716860, 0
0.000000, 5.005620, 0
0.000000, 5.311775, 0.3
0.000000, 5.628673, 0
0.000000, 5.934828, 0
0.000000, 6.232927, 0
0.000000, 6.533711, 0
0.000000, 6.845237, 0
0.000000, 7.151392, 0
0.000000, 7.446805, 0
0.000000, 7.747589, 0.3
0.000000, 8.059116, 0.2
0.000000, 8.351843, 0
0.000000, 8.652627, 0
0.000000, 8.957382, 0
0.000000, 9.274280, 0
0.000000, 9.569693, 0
0.000000, 9.865106, 0
0.000000, 10.171261, 0.3
0.000000, 10.480105, 0
0.000000, 10.780889, 0
0.000000, 11.089730, 0.2
0.000000, 11.414684, 0
0.000000, 11.736952, 0
0.000000, 12.040422, 0
0.000000, 12.349263, 0
0.000000, 12.652733, 0.3
0.000000, 12.958086, 0
0.000000, 13.264421, 0
0.000000, 13.567066, 0
0.000000, 13.863015, 0
0.000000, 14.161969, 0
0.000000, 14.464614, 0
0.000000, 14.763567, 0
0.000000, 15.077284, 0.3
0.000000, 15.391001, 0
0.000000, 15.693674, 0
0.000000, 15.996318, 0
0.000000, 16.298963, 0
0.000000, 16.623752, 0
0.000000, 16.930088, 0
0.000000, 17.232732, 0
0.000000, 17.531686, 0.3
0.000000, 17.830640, 0
0.000000, 18.126991, 0
0.000000, 18.440708, 0
0.000000, 18.754425, 0
0.000000, 19.079214, 0
0.000000, 19.374477, 0
0.000000, 19.680813, 0
0.000000, 19.976076, 0.3
0.000000, 20.286102, 0
0.000000, 20.607200, 0
0.000000, 20.920917, 0
0.000000, 21.227252, 0
0.000000, 21.535105, 0
0.000000, 21.837750, 0
0.000000, 22.140395, 0
0.000000, 22.435658, 0.3
0.000000, 22.753065, 0
0.000000, 23.059401, 0
0.000000, 23.373117, 0
0.000000, 23.670535, 0
0.000000, 24.017366, 0
0.000000, 24.370896, 0
